"race","age","engnat","gender","hand","source","country","E1","E2","E3","E4","E5","E6","E7","E8","E9","E10","N1","N2","N3","N4","N5","N6","N7","N8","N9","N10","A1","A2","A3","A4","A5","A6","A7","A8","A9","A10","C1","C2","C3","C4","C5","C6","C7","C8","C9","C10","O1","O2","O3","O4","O5","O6","O7","O8","O9","O10"
9,44,2,2,1,1,"JP",2,1,3,3,4,2,4,2,4,4,4,2,2,5,4,4,2,2,2,1,2,4,1,5,2,3,2,3,4,4,2,2,2,2,2,5,1,2,4,5,4,3,3,1,3,2,4,4,2,3
9,21,2,2,1,1,"JP",4,3,5,3,4,2,5,2,4,3,5,2,5,1,3,5,5,5,5,5,3,4,3,4,3,5,2,3,4,4,2,3,2,5,1,4,3,3,2,3,3,3,4,2,3,2,2,3,5,3
12,38,2,1,1,1,"JP",1,3,4,3,4,2,2,5,1,4,2,5,2,5,2,2,1,1,2,1,1,5,1,4,1,5,1,5,4,5,3,2,4,2,3,3,5,1,5,5,3,4,3,3,4,1,5,1,5,5
1,17,1,1,2,1,"JP",3,4,4,3,4,2,5,4,4,4,3,5,2,2,3,2,4,2,4,2,2,4,1,4,2,4,1,4,3,3,3,4,4,2,2,4,3,2,2,3,5,1,4,1,5,2,4,5,4,5
1,17,1,1,2,1,"JP",2,4,3,4,2,3,3,4,2,3,3,2,2,1,3,2,2,2,4,4,4,2,3,2,4,2,3,2,2,2,4,4,4,2,3,4,3,2,4,2,5,2,4,2,4,2,4,4,4,4
9,21,2,2,1,5,"JP",2,2,2,2,2,1,1,2,3,4,4,2,4,1,4,5,5,5,4,5,4,2,4,3,5,4,5,3,2,2,4,4,4,4,1,5,5,4,2,4,5,1,4,2,4,2,5,5,5,3
11,18,2,2,1,1,"JP",1,2,4,4,2,2,1,5,2,4,2,5,4,3,2,2,2,2,2,2,2,4,2,4,3,3,4,5,3,3,2,2,4,4,1,3,4,4,4,2,1,3,2,2,2,3,2,1,4,2
3,35,1,1,1,1,"JP",1,3,5,4,4,2,4,5,1,2,2,4,2,4,2,2,1,2,2,2,2,2,3,4,2,4,2,4,4,4,3,3,2,2,2,3,3,2,4,3,4,1,4,1,4,4,4,4,4,5
11,20,1,1,1,2,"JP",1,3,1,4,3,3,1,5,3,5,3,4,5,1,5,5,5,5,5,5,4,1,4,2,4,1,5,4,5,4,4,4,5,5,1,5,4,1,3,5,5,1,5,1,5,1,5,5,5,5
11,26,2,2,1,5,"JP",2,5,2,5,3,5,2,4,2,5,4,3,5,3,5,3,3,3,3,4,2,5,1,5,1,5,3,5,5,5,2,5,5,1,5,5,4,1,3,5,5,5,5,1,4,1,3,2,4,4
9,25,2,1,1,1,"JP",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,38,1,1,1,1,"JP",1,3,2,4,2,2,2,4,2,4,5,2,5,1,3,4,3,4,4,5,2,3,1,4,2,4,2,3,4,5,5,4,3,4,1,4,4,4,2,2,5,1,4,2,4,2,5,5,5,4
9,27,2,1,1,1,"JP",5,3,5,5,5,1,5,3,5,2,5,5,5,5,4,2,4,2,4,5,5,5,1,5,1,4,1,3,5,5,5,5,5,5,4,5,5,5,5,5,5,3,5,1,3,1,5,4,4,5
4,30,2,2,1,1,"JP",3,2,5,2,4,1,2,3,4,3,2,3,4,2,2,2,5,3,1,1,1,4,1,4,2,4,1,4,5,4,4,2,5,2,3,1,1,1,3,3,3,2,3,2,3,1,4,4,3,4
9,22,2,1,1,5,"JP",2,3,2,4,3,2,1,1,2,2,5,2,5,2,5,5,4,3,5,3,4,2,2,2,3,2,2,1,2,2,3,2,5,4,4,2,5,4,3,5,4,4,3,2,5,2,2,5,4,5
8,32,1,3,3,2,"JP",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3,28,1,1,1,1,"JP",1,2,2,4,1,2,1,5,1,5,5,3,5,1,2,3,2,2,3,4,4,2,3,3,5,4,4,2,2,2,5,4,5,1,4,2,4,1,4,4,5,1,5,1,4,1,5,4,4,5
3,34,1,2,1,2,"JP",3,3,3,4,1,2,3,4,2,5,5,3,5,1,3,3,3,3,4,2,2,3,4,4,2,3,3,4,4,4,4,5,4,5,2,5,3,3,3,3,5,1,5,1,4,2,4,4,4,4
9,17,1,2,1,1,"JP",5,2,1,2,2,1,2,4,3,4,5,2,5,1,3,3,4,4,5,5,1,5,1,5,1,5,1,5,5,3,3,3,5,4,1,3,3,3,1,3,3,4,4,4,5,2,4,3,5,5
11,48,2,1,1,1,"JP",1,4,2,4,3,3,2,3,5,4,4,3,4,1,2,2,2,2,3,4,2,3,1,4,2,4,3,3,4,3,4,4,5,4,1,4,4,1,4,4,3,2,2,2,3,3,4,3,4,3
9,20,1,1,2,1,"JP",2,4,3,5,2,2,2,5,3,4,2,4,4,2,2,1,2,1,1,3,3,5,2,1,3,1,2,4,2,2,4,4,4,4,1,5,4,3,1,3,5,1,5,1,4,2,3,5,4,4
11,22,2,2,1,1,"JP",3,2,4,4,5,3,4,4,4,2,5,4,4,3,5,4,4,4,4,3,2,5,2,4,4,4,2,3,4,3,5,4,4,4,4,3,4,4,3,4,4,3,4,3,4,2,5,3,4,5
9,22,1,2,1,2,"JP",2,1,3,4,4,1,2,3,4,4,4,2,4,3,1,1,4,3,1,1,1,4,1,4,1,5,1,4,4,3,4,3,3,3,3,4,4,1,4,4,3,1,5,1,5,1,5,3,5,5
11,21,2,2,1,1,"JP",4,3,3,4,4,4,2,3,4,5,4,2,4,2,4,4,5,4,3,4,2,4,4,4,3,4,2,3,4,4,3,4,2,4,2,4,4,4,2,3,3,3,4,2,2,2,4,4,4,3
3,37,2,1,1,1,"JP",4,3,4,2,4,1,5,3,3,2,3,3,2,3,2,2,4,4,2,3,3,5,1,5,1,2,1,3,4,4,2,2,4,2,3,4,4,3,3,4,2,1,4,1,3,2,4,3,4,4
1,36,2,1,2,2,"JP",3,3,3,2,4,4,2,2,4,2,4,4,4,2,2,2,3,3,2,3,1,5,1,5,1,5,2,5,4,4,4,1,5,1,4,1,4,2,3,4,5,1,4,1,3,1,4,4,5,4
3,27,2,2,1,1,"JP",2,4,4,4,4,3,2,3,3,4,4,3,3,4,4,2,3,2,2,2,4,4,1,4,2,4,3,4,4,3,3,4,4,2,2,4,2,3,3,3,4,2,4,2,4,2,3,2,4,4
9,26,2,1,1,1,"JP",3,3,4,3,5,3,4,2,4,2,2,2,4,3,3,2,2,2,2,2,2,3,2,5,3,3,2,4,5,4,4,3,4,2,4,3,3,1,4,4,3,2,4,1,3,2,3,3,5,3
9,29,2,1,1,1,"JP",1,3,2,4,2,3,2,2,2,4,5,2,4,2,2,2,4,3,2,4,3,3,1,3,3,3,3,3,3,4,3,4,2,2,2,4,2,4,2,2,2,2,4,1,4,2,5,3,4,4
3,44,1,1,1,1,"JP",1,3,3,5,4,2,1,5,1,4,5,1,5,1,5,5,4,3,5,5,1,4,1,5,1,4,1,3,4,5,2,1,2,3,1,5,2,2,2,5,5,1,5,1,5,1,4,5,5,5
1,33,1,1,1,1,"JP",2,4,3,3,2,3,2,4,2,3,1,5,1,5,1,4,1,1,3,1,4,3,4,2,5,2,4,2,2,3,3,1,2,1,3,4,2,2,2,4,5,1,4,3,3,3,4,3,1,3
